Rk,Unnamed: 1,Age,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19,OBPM,DBPM,BPM,VORP,Year,Team,Percent_VORP,TOV%,USG%,Unnamed: 16,Unnamed: 21,3PAr,Unnamed: 17,Unnamed: 22
6,Andrew Lang,27,11,234,12.2,0.516,0.349,7.1,15.9,11.4,3.5,1.4,6.3,,0.0,0.4,0.4,0.08199999999999999,,-3.7,2.8,-0.9,0.1,1994,ATL,0.05000000000000002,17.1,17.2,,,0.016,,
5,Jerome Kersey,35,10,213,14.1,0.485,0.264,9.7,12.8,11.3,7.1,2.6,3.9,,0.1,0.1,0.2,0.034,,-2.1,1.0,-1.1,0.1,1998,SEA,0.05,13.9,20.8,,,0.042,,
6,Clemon Johnson,30,14,262,11.0,0.489,0.358,9.8,11.3,10.5,1.9,1.3,3.6,,0.3,0.3,0.5,0.094,,-0.6,-0.2,-0.8,0.1,1987,SEA,0.05,3.2,9.9,,,0.0,,
2,Don Chaney,30,11,412,9.6,0.41600000000000004,0.22899999999999998,6.1,6.9,6.5,15.3,2.4,0.4,,0.0,0.3,0.2,0.027999999999999997,,-1.1,0.0,-1.1,0.1,1977,LAL,0.05,,,,,,,
2,Robert Reid,30,20,773,11.8,0.475,0.205,1.8,9.7,5.8,23.4,1.7,0.1,,0.4,0.9,1.3,0.079,,-1.3,0.3,-1.0,0.2,1986,HOU,0.05,11.8,18.6,,,0.073,,
6,Tom Abernethy,22,11,214,12.4,0.517,0.54,5.9,13.4,9.7,13.7,1.5,0.5,,0.2,0.2,0.3,0.075,,0.3,-0.5,-0.2,0.1,1977,LAL,0.05,,,,,,,
8,Rick Mahorn,30,17,360,12.4,0.603,0.377,9.8,18.6,14.2,2.9,1.4,2.6,,0.5,0.7,1.2,0.165,,-1.5,2.2,0.7,0.2,1989,DET,0.05,12.0,11.6,,,0.0,,
3,Joe Johnson,35,11,326,12.1,0.509,0.113,2.9,12.9,7.9,14.7,1.0,0.3,,-0.1,0.2,0.2,0.025,,0.0,-0.7,-0.6,0.1,2017,UTA,0.05,8.5,22.3,,,0.33799999999999997,,
5,Dennis Rodman,27,17,409,14.0,0.574,0.5,16.0,32.8,24.4,5.6,0.8,2.1,,0.4,0.9,1.3,0.156,,-0.8,1.1,0.3,0.2,1989,DET,0.05,21.9,12.2,,,0.057,,
5,Lewis Lloyd,26,20,589,13.8,0.527,0.24100000000000002,6.2,5.8,6.0,20.3,1.3,0.6,,0.4,0.6,1.0,0.08199999999999999,,0.8,-1.2,-0.4,0.2,1986,HOU,0.05,15.0,21.5,,,0.021,,
5,Steve Blake,31,12,306,10.3,0.5760000000000001,0.113,2.7,9.3,5.9,13.6,1.4,0.5,,0.3,0.0,0.3,0.042,,-1.4,0.4,-1.0,0.1,2012,LAL,0.04999999999999999,18.7,11.8,,,0.6940000000000001,,
9,Derek Fisher,25,21,322,13.5,0.55,0.316,1.4,6.6,3.9,19.0,1.8,0.2,,0.7,0.1,0.8,0.114,,0.1,1.5,1.7,0.3,2000,LAL,0.04918032786885245,9.1,13.9,,,0.36700000000000005,,
8,Sedale Threatt,35,16,266,9.4,0.496,0.14300000000000002,0.9,6.4,3.8,27.8,1.2,1.1,,0.3,0.0,0.3,0.055,,-1.3,1.8,0.4,0.2,1997,HOU,0.04878048780487806,16.8,12.4,,,0.536,,
9,Maurice Evans,27,16,101,22.6,0.715,0.5329999999999999,7.0,10.1,8.5,5.8,0.6,0.8,,0.5,0.1,0.6,0.28300000000000003,,5.6,0.7,6.3,0.2,2006,DET,0.048780487804878044,5.1,18.8,,,0.36700000000000005,,
8,Leandro Barbosa,33,23,254,18.4,0.6629999999999999,0.239,4.8,6.7,5.8,9.7,2.1,0.3,,0.7,0.2,0.9,0.172,,1.7,1.6,3.3,0.3,2016,GSW,0.048387096774193554,10.2,18.7,,,0.318,,
